stack_name,stack_type,image_url,homepage_url
JavaScript,Languages,https://img.stackshare.io/service/1209/javascript.jpeg,https://developer.mozilla.org/en-US/docs/Web/JavaScript
GitHub,Code Collaboration & Version Control,https://img.stackshare.io/service/27/default_869c34d29acc794d60ecdd5d2b5bfc042a80a4ec.jpg,https://github.com/
Python,Languages,https://img.stackshare.io/service/993/pUBY5pVj.png,https://www.python.org/
Visual Studio Code,Text Editor,https://img.stackshare.io/service/4202/Visual_Studio_Code_logo.png,https://code.visualstudio.com/
Git,Version Control System,https://img.stackshare.io/service/1046/git.png,http://git-scm.com/
Node.js,Frameworks (Full Stack),https://img.stackshare.io/service/1011/n1JRsFeB_400x400.png,http://nodejs.org/
React,Javascript UI Libraries,https://img.stackshare.io/service/1020/OYIaJ1KK.png,https://reactjs.org/
HTML5,Languages,https://img.stackshare.io/service/2538/kEpgHiC9.png,http://www.w3.org/TR/html5/
Docker,Virtual Machine Platforms & Containers,https://img.stackshare.io/service/586/n4u37v9t_400x400.png,https://www.docker.com/
MySQL,Databases,https://img.stackshare.io/service/1025/logo-mysql-170x170.png,http://www.mysql.com/
Gmail,Email Services,https://img.stackshare.io/service/3167/default_2d280843054d533c0a56c573c2e47e2cc1105a88.jpg,https://mail.google.com/
Java,Languages,https://img.stackshare.io/service/995/K85ZWV2F.png,https://www.java.com/
TypeScript,Templating Languages & Extensions,https://img.stackshare.io/service/1612/bynNY5dJ.jpg,http://www.typescriptlang.org/
Slack,Group Chat & Notifications,https://img.stackshare.io/service/675/RNiSRYOF_400x400.jpg,https://slack.com/
PostgreSQL,Databases,https://img.stackshare.io/service/1028/ASOhU5xJ.png,http://www.postgresql.org/
MongoDB,Databases,https://img.stackshare.io/service/1030/leaf-360x360.png,http://www.mongodb.com/
Postman,API Tools,https://img.stackshare.io/service/1336/xWMRvm_5_400x400.png,https://www.getpostman.com/
npm,Front End Package Manager,https://img.stackshare.io/service/1120/lejvzrnlpb308aftn31u.png,https://www.npmjs.com/
GitLab,Code Collaboration & Version Control,https://img.stackshare.io/service/880/lmalkclL.png,https://about.gitlab.com/
jQuery,Javascript UI Libraries,https://img.stackshare.io/service/1021/lxEKmMnB_400x400.jpg,http://jquery.com/
CSS 3,Languages,https://img.stackshare.io/service/6727/css.png,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS3
Kubernetes,Container Tools,https://img.stackshare.io/service/1885/21_d3cvM.png,http://kubernetes.io/
PHP,Languages,https://img.stackshare.io/service/991/hwUcGZ41_400x400.jpg,http://www.php.net/
Google Drive,File Storage,https://img.stackshare.io/service/148/default_fd639832ff07e3b4f80afd816d82ce5e3b666ed2.jpg,https://developers.google.com/drive
NGINX,Web Servers,https://img.stackshare.io/service/1052/YMxUfyWf.png,http://nginx.org/
Ubuntu,Operating Systems,https://img.stackshare.io/service/3511/cof_orange_hex.jpg,http://www.ubuntu.com/
Jira,Issue Tracking,https://img.stackshare.io/service/154/default_53605d3093005bd7853e04a258c0d4746e803e29.jpg,https://www.atlassian.com/software/jira
ES6,Languages,https://img.stackshare.io/service/4109/16407404782_8b9c57eab3.jpg,http://www.ecma-international.org/ecma-262/6.0/
Stack Overflow,Question and Answer Sites,https://img.stackshare.io/service/1927/so-icon.png,http://stackoverflow.com/
IntelliJ IDEA,Integrated Development Environment,https://img.stackshare.io/service/1453/icon_IntelliJIDEA.png,http://www.jetbrains.com/idea/
Redis,In-Memory Databases,https://img.stackshare.io/service/1031/default_cbce472cd134adc6688572f999e9122b9657d4ba.png,http://redis.io/
WordPress,Self-Hosted Blogging / CMS,https://img.stackshare.io/service/250/logo.png,http://wordpress.org/
Google Analytics,General Analytics,https://img.stackshare.io/service/64/cU74ahCn_400x400.jpg,http://www.google.com/analytics
Google Maps,Mapping APIs,https://img.stackshare.io/service/1652/googlemaps.png,https://developers.google.com/maps/
AngularJS,Javascript UI Libraries,https://img.stackshare.io/service/1019/square.png,https://angularjs.org/
Vue.js,Javascript UI Libraries,https://img.stackshare.io/service/3837/paeckCWC.png,http://vuejs.org/
CloudFlare,Content Delivery Network,https://img.stackshare.io/service/15/twitter-profile-400x400.png,http://www.cloudflare.com/
Sublime Text,Text Editor,https://img.stackshare.io/service/642/default_e4b167a79203cda8d1d1498b9bad4d531aae0dab.jpg,http://www.sublimetext.com/
Elasticsearch,Search as a Service,https://img.stackshare.io/service/841/Image_2019-05-20_at_4.58.04_PM.png,https://www.elastic.co/products/elasticsearch
C#,Languages,https://img.stackshare.io/service/1015/1200px-C_Sharp_wordmark.svg.png,http://csharp.net/
Jenkins,Continuous Integration,https://img.stackshare.io/service/670/jenkins.png,http://jenkins-ci.org/
Firebase,Realtime Backend / API,https://img.stackshare.io/service/116/cZLxNFZS.jpg,https://firebase.google.com/
Amazon Web Services (AWS),Cloud Hosting,https://img.stackshare.io/service/47978/default_ea0289e539375fac5b03a92e708e195c36927a81.jpg,https://aws.amazon.com/
Visual Studio,Integrated Development Environment,https://img.stackshare.io/service/1451/SR2hUhQN.png,http://msdn.microsoft.com/en-us/vstudio/aa718325.aspx
Spring Boot,Frameworks (Full Stack),https://img.stackshare.io/service/2927/nPzvMuo2_400x400.png,https://spring.io/projects/spring-boot
Trello,Project Management,https://img.stackshare.io/service/109/-CvHThPk_400x400.jpg,https://trello.com/
GitHub Actions,Continuous Integration,https://img.stackshare.io/service/11563/actions.png,https://github.com/features/actions
RabbitMQ,Message Queue,https://img.stackshare.io/service/1061/default_df93e9a30d27519161b39d8c1d5c223c1642d187.jpg,http://www.rabbitmq.com/
Microsoft Azure,Cloud Hosting,https://img.stackshare.io/service/213/default_88defae415fcb9cd0ac5d36c1ed27e74133c6287.jpg,https://azure.microsoft.com/en-us/
Django,Frameworks (Full Stack),https://img.stackshare.io/service/994/4aGjtNQv.png,https://www.djangoproject.com/
React Native,Cross-Platform Mobile Development,https://img.stackshare.io/service/2699/KoK6gHzp.jpg,http://facebook.github.io/
GraphQL,Query Languages,https://img.stackshare.io/service/3820/12972006.png,http://graphql.org/
Sass,CSS Pre-processors / Extensions,https://img.stackshare.io/service/1171/jCR2zNJV.png,http://sass-lang.com/
ExpressJS,Microframeworks (Backend),https://img.stackshare.io/service/1163/hashtag.png,http://expressjs.com/
Kafka,Message Queue,https://img.stackshare.io/service/1063/kazUJooF_400x400.jpg,http://kafka.apache.org/
Terraform,Server Configuration and Automation,https://img.stackshare.io/service/1276/default_2316907c4199f912e2ed79cbdb99025c9e5e2665.png,https://www.terraform.io/
Kibana,Monitoring Tools,https://img.stackshare.io/service/1722/Image_2019-05-20_at_4.53.31_PM.png,https://www.elastic.co/kibana
Amazon S3,Cloud Storage,https://img.stackshare.io/service/25/amazon-s3.png,http://aws.amazon.com/s3
